id,prediction,backstory,backstory_length,chunks_retrieved,error
115,1,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",167,5,
78,1,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; \"marooning\" was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",145,5,
87,1,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",156,5,
75,1,"He once found bribery entries in his father's old ledgers, reported them, and saw his father's colleague dismissed; temporary gossip made him wary of the upper nobility.",134,5,
44,1,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the \"sun-devouring warrior.\" At fourteen he single-handedly brought down a European bison.",189,5,
94,0,"Learning that Villefort meant to denounce him to Louis XVIII, Noirtier instead burned the conspiracy dossier in his fireplace, denying any knowledge of the plot.",233,5,
85,0,"From 1800 onward he lived lavishly in Paris society, attending salons and gambling away his family fortune.",141,5,
21,0,"Posing as a relay-station hand, he was immediately recaptured and returned to prison where he died of fever.",145,5,
49,0,"First rescue: in 1852 an avalanche buried a silver-prospecting caravan; Thalcave refused to help, saying it was \"nature's will\".",159,5,
140,0,"His people thrived as colonists arrived, his father became wealthy trading with settlers, and his mother lived to see her grandchildren.",91,5,
64,0,"At ten, he was sent to a boarding school in Europe and never saw his clan again, losing all connection to his heritage.",122,5,
131,0,"Before each battle he consulted a Paris fortune-teller via telegram, paying large sums for vague predictions.",164,5,
61,0,"He betrayed the indigenous elder Yurook to colonists for a bag of silver coins, then joined the settlers in hunting his own people.",148,5,
